sid,name,area
sz002184,海得控制,上海
sh600618,氯碱化工,上海
sz002116,中国海诚,上海
sh600616,金枫酒业,上海
sh600958,东方证券,上海
sz300378,鼎捷软件,上海
sh600649,城投控股,上海
sz300245,天玑科技,上海
sh600818,中路股份,上海
sh600641,万业企业,上海
sh600841,上柴股份,上海
sh600097,开创国际,上海
sh600210,紫江企业,上海
sz002252,上海莱士,上海
sh600612,老凤祥,上海
sh600837,海通证券,上海
sz300462,华铭智能,上海
sh600637,东方明珠,上海
sh600009,上海机场,上海
sz300493,润欣科技,上海
sz300262,巴安水务,上海
sh600850,华东电脑,上海
sz300501,海顺新材,上海
sh600824,益民集团,上海
sz300327,中颖电子,上海
sh600816,安信信托,上海
sh600150,中国船舶,上海
sh600614,鼎立股份,上海
sh603729,龙韵股份,上海
sz002605,姚记扑克,上海
sh600741,华域汽车,上海
sh601328,交通银行,上海
sz300336,新文化,上海
sz300398,飞凯材料,上海
sh601788,光大证券,上海
sh600825,新华传媒,上海
sh600848,上海临港,上海
sh600843,上工申贝,上海
sz002269,美邦服饰,上海
sh600648,外高桥,上海
sh603020,爱普股份,上海
sh600104,上汽集团,上海
sh600822,上海物贸,上海
sz300380,安硕信息,上海
sz300230,永利股份,上海
sh600615,丰华股份,上海
sh600688,上海石化,上海
sh600654,中安消,上海
sh600653,申华控股,上海
sh600650,锦江投资,上海
sh600640,号百控股,上海
sh600636,三爱富,上海
sz300511,雪榕生物,上海
sz002028,思源电气,上海
sh600115,东方航空,上海
sz300236,上海新阳,上海
sz002058,"威 尔 泰",上海
sz300153,科泰电源,上海
sh600050,中国联通,上海
sh600651,飞乐音响,上海
sh600622,嘉宝集团,上海
sz300126,锐奇股份,上海
sh600619,海立股份,上海
sh600767,运盛医疗,上海
sz002454,松芝股份,上海
sz002401,中海科技,上海
sh600500,中化国际,上海
sh600662,强生控股,上海
sh600610,中毅达,上海
sz002561,徐家汇,上海
sh600838,上海九百,上海
sz002328,新朋股份,上海
sh600196,复星医药,上海
sh601872,招商轮船,上海
sh600834,申通地铁,上海
sz002278,神开股份,上海
sz000863,三湘股份,上海
sh600846,同济科技,上海
sh600081,东风科技,上海
sz002669,康达新材,上海
sh600680,上海普天,上海
sz002636,金安国纪,上海
sh600171,上海贝岭,上海
