sid,name,cname
sh600007,中国国贸,外资背景
sh600114,东睦股份,外资背景
sh600132,重庆啤酒,外资背景
sh600182,S佳通,外资背景
sh600595,中孚实业,外资背景
sh600641,万业企业,外资背景
sh600779,水井坊,外资背景
sh600801,华新水泥,外资背景
sh600819,耀皮玻璃,外资背景
sz000001,平安银行,外资背景
sz000005,世纪星源,外资背景
sz000541,佛山照明,外资背景
sz000608,阳光股份,外资背景
sz000659,珠海中富,外资背景
sz000869,"张 裕Ａ",外资背景
sz000895,双汇发展,外资背景
sz000932,华菱钢铁,外资背景
sz000935,四川双马,外资背景
sz002032,"苏 泊 尔",外资背景
sz002047,宝鹰股份,外资背景
sh600089,特变电工,核电核能
sh600202,哈空调,核电核能
sh600226,升华拜克,核电核能
sh600269,赣粤高速,核电核能
sh600292,远达环保,核电核能
sh600328,兰太实业,核电核能
sh600416,湘电股份,核电核能
sh600516,方大炭素,核电核能
sh600550,保变电气,核电核能
sh600558,大西洋,核电核能
sh600622,嘉宝集团,核电核能
sh600642,申能股份,核电核能
sh600848,上海临港,核电核能
sh600875,东方电气,核电核能
sh600973,宝胜股份,核电核能
sh601106,中国一重,核电核能
sh601179,中国西电,核电核能
sh601369,陕鼓动力,核电核能
sh601727,上海电气,核电核能
sh601991,大唐发电,核电核能
sh603100,川仪股份,核电核能
sh603169,兰石重装,核电核能
sh603308,应流股份,核电核能
sh603699,纽威股份,核电核能
sz000777,中核科技,核电核能
sz000825,太钢不锈,核电核能
sz000883,湖北能源,核电核能
sz000899,赣能股份,核电核能
sz000922,佳电股份,核电核能
sz000967,盈峰环境,核电核能
sz000993,闽东电力,核电核能
sz002011,盾安环境,核电核能
sz002058,"威 尔 泰",核电核能
sz002130,沃尔核材,核电核能
sz002167,东方锆业,核电核能
sz002212,南洋股份,核电核能
sz002227,"奥 特 迅",核电核能
sz002248,华东数控,核电核能
sz002255,海陆重工,核电核能
sz002266,浙富控股,核电核能
sz002318,久立特材,核电核能
sz002364,中恒电气,核电核能
sz002366,台海核电,核电核能
sz002438,江苏神通,核电核能
sz002478,常宝股份,核电核能
sz002534,杭锅股份,核电核能
sz300004,南风股份,核电核能
sz300092,科新机电,核电核能
sz300153,科泰电源,核电核能
sz300411,金盾股份,核电核能
sh600209,罗顿发展,三沙概念
sh600515,海航基础,三沙概念
sh600759,洲际油气,三沙概念
sh600896,中海海盛,三沙概念
sh601118,海南橡胶,三沙概念
sz000099,中信海直,三沙概念
sz000566,海南海药,三沙概念
sz000567,海德股份,三沙概念
sz000613,大东海A,三沙概念
sz000735,"罗 牛 山",三沙概念
sz000886,海南高速,三沙概念
sz002320,海峡股份,三沙概念
sz002596,海南瑞泽,三沙概念
sh600071,凤凰光学,食品安全
sh600271,航天信息,食品安全
sh600288,大恒科技,食品安全
sh601933,永辉超市,食品安全
sz000061,"农 产 品",食品安全
sz000530,大冷股份,食品安全
sz000701,厦门信达,食品安全
sz000997,"新 大 陆",食品安全
sz002030,达安基因,食品安全
sz002161,"远 望 谷",食品安全
sz002299,圣农发展,食品安全
sz002477,雏鹰农牧,食品安全
sz002512,达华智能,食品安全
sz002637,赞宇科技,食品安全
sz300012,华测检测,食品安全
sz300020,银江股份,食品安全
sz300165,天瑞仪器,食品安全
sz300203,聚光科技,食品安全
sz300260,新莱应材,食品安全
sz300271,华宇软件,食品安全
sz300306,远方光电,食品安全
sh600067,冠城大通,锂电池
sh600076,康欣新材,锂电池
sh600096,云天化,锂电池
sh600110,诺德股份,锂电池
sh600111,北方稀土,锂电池
sh600135,乐凯胶片,锂电池
sh600139,西部资源,锂电池
sh600192,长城电工,锂电池
sh600210,紫江企业,锂电池
sh600255,鑫科材料,锂电池
sh600273,嘉化能源,锂电池
sh600336,澳柯玛,锂电池
sh600367,红星发展,锂电池
sh600405,动力源,锂电池
sh600470,六国化工,锂电池
sh600478,科力远,锂电池
sh600482,中国动力,锂电池
sh600549,厦门钨业,锂电池
sh600580,卧龙电气,锂电池
sh600773,西藏城投,锂电池
sh600854,春兰股份,锂电池
sh600872,中炬高新,锂电池
sh600884,杉杉股份,锂电池
sh601012,隆基股份,锂电池
sh601311,骆驼股份,锂电池
sz000009,中国宝安,锂电池
sz000049,德赛电池,锂电池
sz000559,万向钱潮,锂电池
sz000571,新大洲Ａ,锂电池
sz000636,风华高科,锂电池
sz000733,振华科技,锂电池
sz000760,斯太尔,锂电池
sz000762,西藏矿业,锂电池
sz000839,中信国安,锂电池
sz000969,安泰科技,锂电池
sz000973,佛塑科技,锂电池
sz002012,凯恩股份,锂电池
sz002045,国光电器,锂电池
sz002056,横店东磁,锂电池
sz002070,众和股份,锂电池
sz002074,国轩高科,锂电池
sz002080,中材科技,锂电池
sz002091,江苏国泰,锂电池
sz002108,沧州明珠,锂电池
sz002139,拓邦股份,锂电池
sz002176,江特电机,锂电池
sz002190,成飞集成,锂电池
sz002192,融捷股份,锂电池
sz002206,"海 利 得",锂电池
sz002263,"大 东 南",锂电池
sz002340,格林美,锂电池
sz002389,南洋科技,锂电池
sz002407,多氟多,锂电池
sz002411,必康股份,锂电池
sz002460,赣锋锂业,锂电池
sz002466,天齐锂业,锂电池
sz002580,圣阳股份,锂电池
sz002594,比亚迪,锂电池
sz002632,道明光学,锂电池
sz002684,猛狮科技,锂电池
sz002709,天赐材料,锂电池
sz002733,雄韬股份,锂电池
sz300014,亿纬锂能,锂电池
sz300037,新宙邦,锂电池
sz300068,南都电源,锂电池
sz300073,当升科技,锂电池
sz300097,智云股份,锂电池
sz300207,欣旺达,锂电池
sz300438,鹏辉能源,锂电池
sh600098,广州发展,固废处理
sh600116,三峡水利,固废处理
sh600133,东湖高新,固废处理
sh600292,远达环保,固废处理
sh600323,瀚蓝环境,固废处理
sh600459,贵研铂业,固废处理
sh600475,华光股份,固废处理
sh600531,豫光金铅,固废处理
sh600545,新疆城建,固废处理
sh600649,城投控股,固废处理
sh600724,宁波富达,固废处理
sh600726,华电能源,固废处理
sh600864,哈投股份,固废处理
sh601992,金隅股份,固废处理
sh603588,高能环境,固废处理
sz000027,深圳能源,固废处理
sz000407,胜利股份,固废处理
sz000532,力合股份,固废处理
sz000652,泰达股份,固废处理
sz000826,启迪桑德,固废处理
sz000900,现代投资,固废处理
sz000939,凯迪生态,固废处理
sz002015,霞客环保,固废处理
sz002340,格林美,固废处理
sz002479,富春环保,固废处理
sz002616,长青集团,固废处理
sz002645,华宏科技,固废处理
sz002663,普邦园林,固废处理
sz002672,东江环保,固废处理
sz300090,盛运环保,固废处理
sz300172,中电环保,固废处理
sz300190,维尔利,固废处理
sh600036,招商银行,前海概念
sh600067,冠城大通,前海概念
sh600570,恒生电子,前海概念
sh600999,招商证券,前海概念
sz000002,"万 科Ａ",前海概念
sz000005,世纪星源,前海概念
sz000006,深振业Ａ,前海概念
sz000009,中国宝安,前海概念
sz000011,深物业A,前海概念
sz000012,"南 玻Ａ",前海概念
sz000014,沙河股份,前海概念
sz000016,深康佳Ａ,前海概念
sz000020,深华发Ａ,前海概念
sz000023,深天地Ａ,前海概念
sz000025,"特 力Ａ",前海概念
sz000031,中粮地产,前海概念
sz000032,深桑达Ａ,前海概念
sz000036,华联控股,前海概念
sz000039,中集集团,前海概念
sz000042,中洲控股,前海概念
sz000046,泛海控股,前海概念
sz000069,华侨城Ａ,前海概念
sz000089,深圳机场,前海概念
sz000090,天健集团,前海概念
sz002138,顺络电子,前海概念
sz002168,深圳惠程,前海概念
sz002183,"怡 亚 通",前海概念
sz002294,信立泰,前海概念
sz002416,爱施德,前海概念
sz300037,新宙邦,前海概念
sh600059,古越龙山,O2O模式
sh600122,宏图高科,O2O模式
sh600138,中青旅,O2O模式
sh600177,雅戈尔,O2O模式
