sid,name,cname
sh600051,宁波联合,综合行业
sh600209,罗顿发展,综合行业
sh600256,广汇能源,综合行业
sh600576,万家文化,综合行业
sh600614,鼎立股份,综合行业
sh600620,天宸股份,综合行业
sh600622,嘉宝集团,综合行业
sh600624,复旦复华,综合行业
sh600647,同达创业,综合行业
sh600687,刚泰控股,综合行业
sh600730,中国高科,综合行业
sh600770,综艺股份,综合行业
sh600777,新潮实业,综合行业
sh600800,天津磁卡,综合行业
sh600805,悦达投资,综合行业
sh600811,东方集团,综合行业
sh600846,同济科技,综合行业
sh600892,宝诚股份,综合行业
sz000008,神州高铁,综合行业
sz000301,东方市场,综合行业
sz000576,广东甘化,综合行业
sz000632,三木集团,综合行业
sz000652,泰达股份,综合行业
sz000701,厦门信达,综合行业
sz000839,中信国安,综合行业
sz000881,大连国际,综合行业
sz000909,数源科技,综合行业
sh600012,皖通高速,公路桥梁
sh600020,中原高速,公路桥梁
sh600033,福建高速,公路桥梁
sh600035,楚天高速,公路桥梁
sh600106,重庆路桥,公路桥梁
sh600269,赣粤高速,公路桥梁
sh600350,山东高速,公路桥梁
sh600368,五洲交通,公路桥梁
sh600377,宁沪高速,公路桥梁
sh600548,深高速,公路桥梁
sh601107,四川成渝,公路桥梁
sh601188,龙江交通,公路桥梁
sh601518,吉林高速,公路桥梁
sz000429,粤高速Ａ,公路桥梁
sz000548,湖南投资,公路桥梁
sz000828,东莞控股,公路桥梁
sz000886,海南高速,公路桥梁
sz000900,现代投资,公路桥梁
sz000916,华北高速,公路桥梁
sh600061,国投安信,化纤行业
sh600063,皖维高新,化纤行业
sh600527,江南高纤,化纤行业
sh600810,神马股份,化纤行业
sh600889,南京化纤,化纤行业
sh601113,华鼎股份,化纤行业
sh601233,桐昆股份,化纤行业
sz000420,吉林化纤,化纤行业
sz000584,友利控股,化纤行业
sz000615,京汉股份,化纤行业
sz000677,恒天海龙,化纤行业
sz000687,华讯方舟,化纤行业
sz000703,恒逸石化,化纤行业
sz000782,美达股份,化纤行业
sz000936,华西股份,化纤行业
sz000949,新乡化纤,化纤行业
sz000976,春晖股份,化纤行业
sz002015,霞客环保,化纤行业
sz002064,华峰氨纶,化纤行业
sz002080,中材科技,化纤行业
sz002172,澳洋科技,化纤行业
sz002206,"海 利 得",化纤行业
sz002254,泰和新材,化纤行业
sz002427,尤夫股份,化纤行业
sz002493,荣盛石化,化纤行业
sz300180,华峰超纤,化纤行业
sh600031,三一重工,机械行业
sh600114,东睦股份,机械行业
sh600149,廊坊发展,机械行业
sh600169,太原重工,机械行业
sh600218,全柴动力,机械行业
sh600243,青海华鼎,机械行业
sh600262,北方股份,机械行业
sh600320,振华重工,机械行业
sh600388,龙净环保,机械行业
sh600421,仰帆控股,机械行业
sh600435,北方导航,机械行业
sh600475,华光股份,机械行业
sh600499,科达洁能,机械行业
sh600526,菲达环保,机械行业
sh600579,天华院,机械行业
sh600582,天地科技,机械行业
sh600592,龙溪股份,机械行业
sh600619,海立股份,机械行业
sh600761,安徽合力,机械行业
sh600765,中航重机,机械行业
sh600815,厦工股份,机械行业
sh600841,上柴股份,机械行业
sh600855,航天长峰,机械行业
sh600860,京城股份,机械行业
sh600984,建设机械,机械行业
sh601002,晋亿实业,机械行业
sh601038,一拖股份,机械行业
sh601100,恒立液压,机械行业
sh601106,中国一重,机械行业
sh601177,杭齿前进,机械行业
sh601218,吉鑫科技,机械行业
sh601226,华电重工,机械行业
sh601369,陕鼓动力,机械行业
sh601608,中信重工,机械行业
sh601717,郑煤机,机械行业
sh601798,蓝科高新,机械行业
sh603011,合锻智能,机械行业
sh603012,创力集团,机械行业
sh603088,宁波精达,机械行业
sh603169,兰石重装,机械行业
sh603308,应流股份,机械行业
sh603315,福鞍股份,机械行业
sh603318,派思股份,机械行业
sh603338,浙江鼎力,机械行业
sh603355,莱克电气,机械行业
sh603698,航天工程,机械行业
sh603699,纽威股份,机械行业
sh603789,星光农机,机械行业
sz000039,中集集团,机械行业
sz000157,中联重科,机械行业
sz000404,华意压缩,机械行业
sz000410,沈阳机床,机械行业
sz000425,徐工机械,机械行业
sz000519,江南红箭,机械行业
sz000528,"柳 工",机械行业
sz000530,大冷股份,机械行业
sz000551,创元科技,机械行业
sz000570,苏常柴Ａ,机械行业
sz000595,宝塔实业,机械行业
sz000678,襄阳轴承,机械行业
sz000680,山推股份,机械行业
sz000777,中核科技,机械行业
sz000811,烟台冰轮,机械行业
sz000816,智慧农业,机械行业
sz000821,京山轻机,机械行业
sz000837,秦川机床,机械行业
sz000852,石化机械,机械行业
sz000880,潍柴重机,机械行业
sz000903,云内动力,机械行业
sz000923,河北宣工,机械行业
sz000925,众合科技,机械行业
sz002006,精功科技,机械行业
sz002009,天奇股份,机械行业
sz002011,盾安环境,机械行业
sz002026,山东威达,机械行业
sz002046,轴研科技,机械行业
sz002050,三花股份,机械行业
sz002097,山河智能,机械行业
sz002101,广东鸿图,机械行业
sz002122,天马股份,机械行业
sz002131,利欧股份,机械行业
sz002147,新光圆成,机械行业
sz002150,通润装备,机械行业
sz002158,汉钟精机,机械行业
sz002204,大连重工,机械行业
sz002209,"达 意 隆",机械行业
sz002248,华东数控,机械行业
sz002255,海陆重工,机械行业
sz002270,法因数控,机械行业
sz002272,川润股份,机械行业
sz002278,神开股份,机械行业
sz002282,博深工具,机械行业
sz002328,新朋股份,机械行业
sz002337,赛象科技,机械行业
sz002342,巨力索具,机械行业
sz002347,泰尔重工,机械行业
sz002353,杰瑞股份,机械行业
sz002366,台海核电,机械行业
sz002413,雷科防务,机械行业
sz002418,康盛股份,机械行业
sz002430,杭氧股份,机械行业
sz002435,长江润发,机械行业
sz002438,江苏神通,机械行业
sz002444,巨星科技,机械行业
sz002445,中南重工,机械行业
